Speed,Stage,Event,Finish,Distance,Winner, 
"49,418",Tour de France 1993 - Stage 6 ,Stage in line,Amiens,158,Johan Bruyneel,
"49,417",Tour de France 1999 - Stage 8 ITT,Individual time trial,Metz,56.5,Lance Armstrong,
"49,389",Tour de France 2004 - Stage 19 ITT,Individual time trial,Besançon,55,Lance Armstrong,
"49,305",Tour de France 2001 - Stage 5 TTT,Team time trial,Bar-le-Duc,67,Crédit Agricole (-2008),
"49,282",Tour de France 2001 - Stage 18 ITT,Individual time trial,Saint-Amand-Montrond,61.0,Lance Armstrong,
"49,237",Tour de France 1988 - Stage6 ITT,Individual time trial,Wasquehal,52,Sean Yates,
"49,121",Tour de France 2008 - Stage 4 ITT,Individual time trial,Cholet,29.5,Kim Kirchen,
"49,105",Tour de France 1975 - Stage6 ITT,Individual time trial,Merlin Plage,16,Eddy Merckx,
"49,046",Tour de France 1992 - Stage9 ITT,Individual time trial,Luxembourg,65,Miguel Induráin,
"49,000",Tour de France 1979 - Stage8 TTT,Team time trial,Le Havre,90.2,T.I. Raleigh - Campagnolo (-1983),
"48,932",Tour de France 2002 - Stage 10 RR,Stage in line,Pau,147,Patrice Halgand,
"48,927",Tour de France 1988 - Stage16 ,Stage in line,Pau,38,Adrie van der Poel,
"48,923",Tour de France 1979 - Stage4 TTT,Team time trial,Bordeaux,87.45,T.I. Raleigh - Campagnolo (-1983),
"48,883",Tour de France 1998 - Stage 12 RR,Stage in line,"Le Cap d'Agde",206.0,Tom Steels,
"48,852",Tour de France 1998 - Stage 20 ITT,Individual time trial,Le Creusot,52,Jan Ullrich,
"48,814",Tour de France 1972 - Prologue ITT,Individual time trial,Angers,7.2,Eddy Merckx,
"48,722",Tour de France 1984 - Prologue ITT,Individual time trial,Noisy-le-Sec,5.4,Bernard Hinault,
"48,696",Tour de France 2000 - Stage 4 TTT,Team time trial,Saint-Nazaire,70,ONCE (-2003),
"48,677",Tour de France 1977 - Stage13a ,Stage in line,Freiburg,46,Patrick Sercu,
"48,673",Tour de France 2007 - Stage 13 ITT,Individual time trial,Albi,54,Cadel Evans,
"48,667",Tour de France 1995 - Prologue ITT,Individual time trial,Saint-Brieuc,7.3,Jacky Durand,
"48,604",Tour de France 1993 - Stage 9 ITT,Individual time trial,Paris,59,Miguel Induráin,
"48,586",Tour de France 1985 - Stage3 TTT,Team time trial,Fougères,73,La Vie Claire,
"48,584",Tour de France 2005 - Stage 5 RR,Stage in line,Montargis,183.0,Robbie McEwen,
"48,576",Tour de France 1988 - Prologue ITT,Individual time trial,La Boule,1,Guido Bontempi,
"48,532",Tour de France 1974 - Stage21a ,Stage in line,Orléans,112.5,Eddy Merckx,
"48,466",Tour de France 1995 - Stage 19 ITT,Individual time trial,Paris,46.5,Miguel Induráin,
"48,444",Tour de France 2012 - Stage 9 ITT,Individual time trial,Besançon,41.5,Bradley Wiggins,
"48,399",Tour de France 2003 - Stage 3 RR,Stage in line,Saint-Dizier,167.5,Alessandro Petacchi,
"48,358",Tour de France 1990 - Prologue ITT,Individual time trial,Futuroscope,6.3,Thierry Marie,
"48,178",Tour de France 2003 - Stage 12 ITT,Individual time trial,Cap Découverte,47,Jan Ullrich,
"48,061",Tour de France 2007 - Stage 11 RR,Stage in line,Montpellier,182.5,Robert Hunter,
"48,000",Tour de France 1969 - Prologue ITT,Individual time trial,Roubaix,10.4,Rudi Altig,
"47,972",Tour de France 2001 - Stage 2 RR,Stage in line,Antwerp,220.5,Marc Wauters,
"47,891",Tour de France 1987 - Stage1 ,Stage in line,West Berlin,105,Nico Verhoeven,
"47,887",Tour de France 1984 - Stage3 TTT,Team time trial,Valenciennes,51,Renault (-1985),
"47,879",Tour de France 1959 - Stage6 ITT,Individual time trial,Nantes,45.299,Roger Rivière,
"47,872",Tour de France 1977 - Prologue ITT,Individual time trial,Fleurance,5,Didi Thurau,
"47,870",Tour de France 1990 - Stage 7 ITT,Individual time trial,Épinal,61.5,Raúl Alcalá,
"47,865",Tour de France 1974 - Prologue ITT,Individual time trial,Brest,7.1,Eddy Merckx,
"47,805",Tour de France 1997 - Stage 8 RR,Stage in line,Pau,161.5,Erik Zabel,
"47,802",Tour de France 1992 - Stage5 ,Stage in line,Wasquehal,196.0,Guido Bontempi,
"47,719",Tour de France 1962 - Stage8b ITT,Individual time trial,La Rochelle,43,Jacques Anquetil,
"47,693",Tour de France 1986 - Stage2 TTT,Team time trial,Saint-Quentin-en-Yvelines,56.0,"Systeme ""U"" (-1989)",
"47,666",Tour de France 1991 - Stage21 ITT,Individual time trial,Mâcon,57,Miguel Induráin,
"47,611",Tour de France 2009 - Stage 1 ITT,Individual time trial,Monaco,15.5,Fabian Cancellara,
"47,472",Tour de France 1998 - Stage 3 RR,Stage in line,Lorient,169.0,Jens Heppner,
"47,442",Tour de France 1988 - Prologue TTT,Team time trial,La Boule,3.8,Weinmann (-1991),
"47,410",Tour de France 1985 - Stage8 ITT,Individual time trial,Strasbourg,75,Bernard Hinault,
"47,273",Tour de France 1989 - Prologue ITT,Individual time trial,Luxembourg,7.8,Erik Breukink,
"47,229",Tour de France 1991 - Stage11 ,Stage in line,Saint-Herblain,246.0,Charly Mottet,
"47,221",Tour de France 1987 - Stage24 ITT,Individual time trial,Dijon,38,Jean-François Bernard,
"47,219",Tour de France 2005 - Stage 6 RR,Stage in line,Nancy,199.0,Lorenzo Bernucci,
"47,214",Tour de France 2006 - Stage 9 RR,Stage in line,Dax,169.5,Óscar Freire,
"47,201",Tour de France 2003 - Stage 5 RR,Stage in line,Nevers,196.5,Alessandro Petacchi,
"47,135",Tour de France 2002 - Stage 8 RR,Stage in line,Plouay,217.5,Karsten Kroon,
"47,100",Tour de France 1976 - Stage3 ITT,Individual time trial,Le Touquet-Paris-Plage,37,Freddy Maertens,
"47,038",Tour de France 2005 - Stage 2 RR,Stage in line,Les Essarts,181.5,Tom Boonen,
"47,035",Tour de France 1978 - Prologue ITT,Individual time trial,Leiden,5.2,Jan Raas,
"47,031",Tour de France 1983 - Prologue ITT,Individual time trial,Fontenay-sous-Bois,5.5,Eric Vanderaerden,
"46,997",Tour de France 2002 - Stage 19 ITT,Individual time trial,Mâcon,50,Lance Armstrong,
"46,847",Tour de France 1986 - Stage9 ITT,Individual time trial,Nantes,61.5,Bernard Hinault,
"46,822",Tour de France 1999 - Stage 2 RR,Stage in line,Saint-Nazaire,176,Tom Steels,
"46,803",Tour de France 1998 - Stage 19 RR,Stage in line,Autun,242.0,Magnus Bäckstedt,
"46,782",Tour de France 1973 - Stage1a ,Stage in line,Rotterdam,84,Willy Teirlinck,
"46,780",Tour de France 2000 - Stage 5 RR,Stage in line,Vitré,202.0,Marcel Wüst,
"46,709",Tour de France 1970 - Stage20b ITT,Individual time trial,Bordeaux,8.2,Eddy Merckx,
"46,687",Tour de France 1992 - Stage8 ,Stage in line,Koblenz,206.5,Jan Nevens,
"46,678",Tour de France 2001 - Stage 9 RR,Stage in line,Aix-les-Bains,185,Sergei Ivanov,
"46,655",Tour de France 1982 - Prologue ITT,Individual time trial,Basel,7.4,Bernard Hinault,
"46,633",Tour de France 2005 - Stage 13 RR,Stage in line,Montpellier,173.5,Robbie McEwen,
"46,632",Tour de France 1957 - Stage3a TTT,Team time trial,Caen,15,Franse ploeg (-1968),
"46,610",Tour de France 2001 - Stage 19 RR,Stage in line,Évry,149.5,Erik Zabel,
"46,589",Tour de France 1971 - Stage2 ,Stage in line,Strasbourg,144,Eddy Merckx,
"46,587",Tour de France 1979 - Stage11 ITT,Individual time trial,Brussels,33.4,Bernard Hinault,
"46,562",Tour de France 2000 - Stage 8 RR,Stage in line,Villeneuve-sur-Lot,203.5,Erik Dekker,
"46,518",Tour de France 1970 - Stage23 ITT,Individual time trial,Paris,54,Eddy Merckx,
"46,504",Tour de France 1974 - Stage21b ITT,Individual time trial,Orléans,37.5,Michel Pollentier,
"46,461",Tour de France 1985 - Stage13 ITT,Individual time trial,Villard-de-Lans,31.8,Eric Vanderaerden,
"46,452",Tour de France 1985 - Prologue ITT,Individual time trial,Plumelec,6.8,Bernard Hinault,
"46,400",Tour de France 2005 - Stage 20 ITT,Individual time trial,Saint-Etienne,55.5,Lance Armstrong,
"46,354",Tour de France 1969 - Stage22b ITT,Individual time trial,Paris,36.8,Eddy Merckx,
"46,352",Tour de France 1976 - Stage22a ITT,Individual time trial,Paris,6,Freddy Maertens,
"46,349",Tour de France 1975 - Stage2 ,Stage in line,Amiens,121.5,Ronny Dewitte,
"46,346",Tour de France 1980 - Stage7a TTT,Team time trial,Beauvais,65,T.I. Raleigh - Campagnolo (-1983),
"46,334",Tour de France 2003 - Stage 17 RR,Stage in line,Bordeaux,181,Servais Knaven,
"46,328",Tour de France 1997 - Stage 7 RR,Stage in line,Bordeaux,194.0,Erik Zabel,
"46,317",Tour de France 2009 - Stage 19 RR,Stage in line,Aubenas,178,Mark Cavendish,
"46,272",Tour de France 1971 - Stage12 ,Stage in line,Marseille,251.0,Luciano Armani,
"46,259",Tour de France 1972 - Stage5b ITT,Individual time trial,Bordeaux,12.4,Eddy Merckx,
"46,236",Tour de France 1966 - Stage8 ,Stage in line,Bordeaux,137.5,Willy Planckaert,
"46,191",Tour de France 1988 - Stage4 ,Stage in line,Évreux,158,Acacio Da Silva,
"46,188",Tour de France 1982 - Stage9a TTT,Team time trial,Plumelec,69,T.I. Raleigh - Campagnolo (-1983),
"46,171",Tour de France 2005 - Stage 3 RR,Stage in line,Tours,212.5,Tom Boonen,
"46,154",Tour de France 1992 - Stage6 ,Stage in line,Brussels,167.0,Laurent Jalabert,
"46,151",Tour de France 2006 - Stage 12 RR,Stage in line,Carcassonne,211.5,Yaroslav Popovych,
"46,145",Tour de France 2002 - Stage 5 RR,Stage in line,Rouen,195,Jann Kirsipuu,
"46,144",Tour de France 1998 - Stage 7 ITT,Individual time trial,Corrèze,58,Jan Ullrich,
"46,138",Tour de France 1991 - Stage1 ,Stage in line,Lyon,114.5,Dzamolidine Abduzhaparov,
"46,127",Tour de France 2006 - Stage 18 RR,Stage in line,Mâcon,197,Matteo Tosatto,
"46,102",Tour de France 2008 - Stage 14 RR,Stage in line,Digne-les-Bains,194.5,Óscar Freire,
"46,078",Tour de France 1966 - Stage22b ITT,Individual time trial,Paris,51.3,Rudi Altig,
"46,070",Tour de France 2011 - Stage 16 RR,Stage in line,Gap,162.5,Thor Hushovd,
"46,011",Tour de France 1986 - Stage20 ITT,Individual time trial,Saint-Etienne,58,Bernard Hinault,
"45,994",Tour de France 1969 - Stage15 ITT,Individual time trial,Revel,18.5,Eddy Merckx,
"45,990",Tour de France 1977 - Stage5b ITT,Individual time trial,Bordeaux,30.2,Didi Thurau,
"45,985",Tour de France 1963 - Stage6b ITT,Individual time trial,Angers,24.5,Jacques Anquetil,
"45,920",Tour de France 2002 - Prologue ITT,Individual time trial,Luxembourg,7,Lance Armstrong,
"45,918",Tour de France 1965 - Stage1b TTT,Team time trial,Liège,22.5,Ford (-1966),
"45,917",Tour de France 1984 - Stage7 ITT,Individual time trial,Le Mans,67,Laurent Fignon,
"45,905",Tour de France 2011 - Stage 20 ITT,Individual time trial,Grenoble,42.5,Tony Martin,
"45,899",Tour de France 2001 - Stage 17 RR,Stage in line,Montluçon,194.0,Serge Baguet,
"45,839",Tour de France 1981 - Stage4 TTT,Team time trial,Carcassonne,77.2,T.I. Raleigh - Campagnolo (-1983),
"45,823",Tour de France 1973 - Stage20a ITT,Individual time trial,Versailles,16,Luis Ocaña,
"45,808",Tour de France 1976 - Stage22b ,Stage in line,Paris,90.7,Gerben Karstens,
"45,796",Tour de France 2000 - Stage 13 RR,Stage in line,Draguignan,185.5,José Vicente García Acosta,
"45,785",Tour de France 1974 - Stage19b ITT,Individual time trial,Bordeaux,12.4,Eddy Merckx,
"45,774",Tour de France 2008 - Stage 12 RR,Stage in line,Narbonne,168.5,Mark Cavendish,
"45,766",Tour de France 1971 - Stage20 ITT,Individual time trial,Paris,53.8,Eddy Merckx,
"45,763",Tour de France 1977 - Stage22a ITT,Individual time trial,Paris,6,Didi Thurau,
"45,752",Tour de France 1991 - Stage8 ITT,Individual time trial,Alençon,73,Miguel Induráin,
"45,743",Tour de France 1981 - Stage14 ITT,Individual time trial,Mulhouse,38.5,Bernard Hinault,
"45,729",Tour de France 2008 - Stage 19 RR,Stage in line,Montluçon,165.5,Sylvain Chavanel,
"45,717",Tour de France 1999 - Stage 17 RR,Stage in line,Bordeaux,200.0,Tom Steels,
"45,706",Tour de France 2005 - Stage 8 RR,Stage in line,Gérardmer,231.5,Pieter Weening,
"45,699",Tour de France 2004 - Stage 2 RR,Stage in line,Namur,197,Robbie McEwen,
"45,685",Tour de France 1955 - Stage1b TTT,Team time trial,Dieppe,12.5,Netherlands,
"45,629",Tour de France 1997 - Stage 3 RR,Stage in line,Plumelec,224.0,Erik Zabel,
"45,564",Tour de France 1988 - Stage5 ,Stage in line,Liévin,147.5,Jelle Nijdam,
"45,539",Tour de France 1981 - Stage20 ITT,Individual time trial,Saint-Priest,46.5,Bernard Hinault,
"45,528",Tour de France 2004 - Stage 3 RR,Stage in line,Wasquehal,210.0,Jean-Patrick Nazon,
"45,510",Tour de France 1938 - Stage20a ,Stage in line,Laon,48,Glauco Servadei,
"45,493",Tour de France 2002 - Stage 6 RR,Stage in line,Alençon,199.5,Erik Zabel,
"45,479",Tour de France 1984 - Stage22 ITT,Individual time trial,Villefranche-sur-Saône,51,Laurent Fignon,
"45,446",Tour de France 1972 - Stage20a ITT,Individual time trial,Versailles,42.0,Eddy Merckx,
"45,412",Tour de France 1973 - Stage16b ITT,Individual time trial,Bordeaux,12.4,Joaquim Agostinho,
"45,401",Tour de France 1973 - Stage12a ITT,Individual time trial,Thuir,28.3,Luis Ocaña,
"45,399",Tour de France 1996 - Stage 14 ,Stage in line,Tulle,186.5,Dzamolidine Abduzhaparov,
"45,392",Tour de France 2000 - Stage 17 RR,Stage in line,Lausanne,155,Erik Dekker,
"45,387",Tour de France 1991 - Stage5 ,Stage in line,Valenciennes,149.5,Jelle Nijdam,
"45,377",Tour de France 2012 - Stage 18 RR,Stage in line,Brive-la-Gaillarde,222.5,Mark Cavendish,
"45,362",Tour de France 1980 - Stage20 ITT,Individual time trial,Saint-Etienne,34.5,Joop Zoetemelk,
"45,348",Tour de France 1970 - Stage5a ,Stage in line,Rouen,94.5,Walter Godefroot,
"45,309",Tour de France 2006 - Stage 6 RR,Stage in line,Vitré,189,Robbie McEwen,
"45,229",Tour de France 2004 - Stage 9 RR,Stage in line,Guéret,160.5,Robbie McEwen,
"45,207",Tour de France 1963 - Stage19 ITT,Individual time trial,Besançon,54.5,Jacques Anquetil,
"45,182",Tour de France 2004 - Stage 7 RR,Stage in line,Saint-Brieuc,204.5,Filippo Pozzato,
"45,173",Tour de France 1979 - Stage10 ,Stage in line,Brussels,124,Jo Maas,
"45,165",Tour de France 2011 - Stage 5 RR,Stage in line,Cap Fréhel,164.5,Mark Cavendish,
"45,151",Tour de France 1975 - Stage9b ITT,Individual time trial,Auch,37.4,Eddy Merckx,
"45,136",Tour de France 2005 - Stage 7 RR,Stage in line,Karlsruhe,228.5,Robbie McEwen,
"45,110",Tour de France 1982 - Stage10 ,Stage in line,Bordeaux,148,Raymond Villemiane,
"45,097",Tour de France 1967 - Stage1a ITT,Individual time trial,Angers,5.8,José María Errandonea,
"45,037",Tour de France 1992 - Stage7 ,Stage in line,Valkenburg,196.5,Gilles Delion,
"44,962",Tour de France 1996 - Stage 15 ,Stage in line,Villeneuve-sur-Lot,176,Massimo Podenzana,
"44,890",Tour de France 2003 - Stage 1 RR,Stage in line,Meaux,168,Alessandro Petacchi,
"44,881",Tour de France 1936 - Stage13b ITT,Individual time trial,Montpellier,52,Sylvère Maes,
"44,855",Tour de France 2011 - Stage 10 RR,Stage in line,Carmaux,158,André Greipel,
"44,803",Tour de France 1981 - Stage9 ,Stage in line,Le Mans,196.5,René Martens,
"44,785",Tour de France 1964 - Stage10b ITT,Individual time trial,Toulon,20.8,Jacques Anquetil,
"44,734",Tour de France 1994 - Stage 5 ,Stage in line,Portsmouth,187.0,Nicola Minali,
"44,732",Tour de France 1995 - Stage 6 ,Stage in line,Charleroi,202.0,Erik Zabel,
"44,720",Tour de France 2003 - Stage 6 RR,Stage in line,Lyon,230.0,Alessandro Petacchi,
"44,675",Tour de France 1983 - Stage6 ITT,Individual time trial,Nantes,58.5,Bert Oosterbosch,
"44,675",Tour de France 1998 - Stage 18 RR,Stage in line,Neuchâtel,218.5,Tom Steels,
"44,675",Tour de France 2004 - Stage 14 RR,Stage in line,Nîmes,192.5,Aitor González,
"44,666",Tour de France 2009 - Stage 11 RR,Stage in line,Saint-Fargeau,192.0,Mark Cavendish,
"44,665",Tour de France 1981 - Stage6 ITT,Individual time trial,Pau,26.7,Bernard Hinault,
"44,663",Tour de France 1982 - Stage19 ITT,Individual time trial,Saint-Priest,48,Bernard Hinault,
"44,655",Tour de France 1990 - Stage 13 RR,Stage in line,Saint-Etienne,149,Eduardo Chozas,
"44,623",Tour de France 1970 - Prologue ITT,Individual time trial,Limoges,7.4,Eddy Merckx,
"44,612",Tour de France 1972 - Stage5a ,Stage in line,Bordeaux,133.5,Walter Godefroot,
"44,604",Tour de France 2001 - Stage 8 RR,Stage in line,Pontarlier,222.5,Erik Dekker,
"44,603",Tour de France 1989 - Stage5 ITT,Individual time trial,Rennes,73,Greg Lemond,
"44,522",Tour de France 1993 - Stage 7 ,Stage in line,Châlons-sur-Marne,199.0,Bjarne Riis,
"44,518",Tour de France 1995 - Stage 5 ,Stage in line,Dunkirk,261.0,Jeroen Blijlevens,
"44,516",Tour de France 2007 - Stage 17 RR,Stage in line,Castelsarrasin,188.5,Daniele Bennati,
"44,516",Tour de France 1962 - Stage7 ,Stage in line,Saint-Nazaire,201.0,Huub Zilverberg,
"44,514",Tour de France 1965 - Stage22 ITT,Individual time trial,Paris,37.8,Felice Gimondi,
"44,496",Tour de France 1997 - Stage 17 RR,Stage in line,Colmar,218.5,Neil Stephens,
"44,494",Tour de France 1962 - Stage8a ,Stage in line,Luçon,155,Mario Minieri,
"44,493",Tour de France 1984 - Stage8 ,Stage in line,Nantes,192.0,Pascal Jules,
"44,480",Tour de France 2000 - Stage 3 RR,Stage in line,Nantes,161.5,Tom Steels,
"44,475",Tour de France 1967 - Stage22b ITT,Individual time trial,Paris,46.6,Raymond Poulidor,
"44,446",Tour de France 2011 - Stage 11 RR,Stage in line,Lavaur,167.5,Mark Cavendish,
"44,440",Tour de France 1970 - Stage5b ,Stage in line,Amiens,113,Jos Spruyt,
"44,437",Tour de France 1969 - Stage1a ,Stage in line,Woluwe,147,Marino Basso,
