Speed,Stage,Event,Finish,Distance,Winner, 
"40,893",Tour de France 1979 - Stage13 ,Stage in line,"Ballon d'Alsace",202.0,Raymond Villemiane,
"40,858",Tour de France 2008 - Stage 3 RR,Stage in line,Nantes,208,Samuel Dumoulin,
"40,850",Tour de France 2005 - Stage 18 RR,Stage in line,Mende,189,Marcos Serrano,
"40,842",Tour de France 1954 - Stage10 ,Stage in line,Bayonne,202.0,Gilbert Bauvin,
"40,837",Tour de France 1972 - Stage3a ,Stage in line,Saint-Jean-de-Monts,161,Ercole Gualazzini,
"40,826",Tour de France 1981 - Stage12b ,Stage in line,Zolder,137.8,Eddy Planckaert,
"40,820",Tour de France 1984 - Stage10 ,Stage in line,Pau,198,Eric Vanderaerden,
"40,815",Tour de France 2011 - Stage 1 RR,Stage in line,Mont des Alouettes,191.5,Philippe Gilbert,
"40,812",Tour de France 1936 - Stage19c ,Stage in line,Angers,67,Paul Maye,
"40,805",Tour de France 2000 - Stage 20 RR,Stage in line,Troyes,254.5,Erik Zabel,
"40,789",Tour de France 1979 - Stage5 ,Stage in line,Angers,148.2,Jan Raas,
"40,783",Tour de France 1937 - Stage18a ITT,Individual time trial,La Roche-sur-Yon,81,Roger Lapébie,
"40,775",Tour de France 2006 - Stage 2 RR,Stage in line,Esch-sur-Alzette,228.5,Robbie McEwen,
"40,772",Tour de France 1983 - Stage14 ,Stage in line,Issoire,149,Pierre le Bigaut,
"40,742",Tour de France 2012 - Stage 10 RR,Stage in line,Bellegarde-sur-Valserine,194.5,Thomas Voeckler,
"40,742",Tour de France 1956 - Stage7 ,Stage in line,Angers,244.0,Alessandro Fantini,
"40,723",Tour de France 1980 - Stage7b ,Stage in line,Rouen,92,Jan Raas,
"40,703",Tour de France 1989 - Stage8 ,Stage in line,Pau,157,Martin Earley,
"40,702",Tour de France 2009 - Stage 10 RR,Stage in line,Issoudun,194.5,Mark Cavendish,
"40,688",Tour de France 1998 - Stage 8 RR,Stage in line,Montauban,190.5,Jacky Durand,
"40,687",Tour de France 1993 - Stage 14 ,Stage in line,Perpignan,223.0,Pascal Lino,
"40,680",Tour de France 2000 - Stage 2 RR,Stage in line,Loudun,194.0,Tom Steels,
"40,659",Tour de France 1948 - Stage 9 RR,Stage in line,Montpellier,246.0,Raymond Impanis,
"40,642",Tour de France 1956 - Stage15 ,Stage in line,Aix-en-Provence,204.0,Joseph Thomin,
"40,637",Tour de France 1996 - Stage 6 ,Stage in line,Aix-les-Bains,207,Michael Boogerd,
"40,627",Tour de France 1962 - Stage16 ,Stage in line,Aix-en-Provence,185,Emile Daems,
"40,622",Tour de France 1960 - Stage7 ,Stage in line,Angers,244.0,Graziano Battistini,
"40,611",Tour de France 2009 - Stage 21 RR,Stage in line,Paris,164,Mark Cavendish,
"40,609",Tour de France 1981 - Stage1a ,Stage in line,Nice,97.0,Freddy Maertens,
"40,598",Tour de France 1957 - Stage15b ITT,Individual time trial,Barcelona,9.8,Jacques Anquetil,
"40,597",Tour de France 1956 - Stage4a ITT,Individual time trial,Paris,15.1,Charly Gaul,
"40,595",Tour de France 1996 - Stage 10 ,Stage in line,Gap,208.5,Erik Zabel,
"40,589",Tour de France 2001 - Stage 4 RR,Stage in line,Verdun,215.0,Laurent Jalabert,
"40,584",Tour de France 1951 - Stage7 ITT,Individual time trial,Angers,85,Hugo Koblet,
"40,579",Tour de France 1986 - Stage5 ,Stage in line,Villers-sur-Mer,124.5,Johan van der Velde,
"40,574",Tour de France 1986 - Stage14 ,Stage in line,Blagnac,154,Niki Rüttimann,
"40,565",Tour de France 1952 - Stage 22 ITT,Individual time trial,Vichy,63.0,Fiorenzo Magni,
"40,553",Tour de France 2001 - Stage 20 RR,Stage in line,Paris,160.5,Ján Svorada,
"40,553",Tour de France 1992 - Stage21 ,Stage in line,Paris,141,Olaf Ludwig,
"40,548",Tour de France 1982 - Stage3 ,Stage in line,Longwy,134,Daniël Willems,
"40,548",Tour de France 1964 - Stage2 ,Stage in line,Amiens,208,André Darrigade,
"40,547",Tour de France 1994 - Stage 1 ,Stage in line,Armentières,234,Dzamolidine Abduzhaparov,
"40,538",Tour de France 1997 - Stage 2 RR,Stage in line,Vire,262,Mario Cipollini,
"40,518",Tour de France 1988 - Stage8 ,Stage in line,Nancy,219.0,Rolf Gölz,
"40,500",Tour de France 1967 - Stage1b ,Stage in line,Saint-Malo,185.5,Walter Godefroot,
"40,485",Tour de France 1937 - Stage13a ,Stage in line,Narbonne,103,Francesco Camusso,
"40,485",Tour de France 1996 - Stage 4 ,Stage in line,Paris,232.0,Cyril Saugrain,
"40,481",Tour de France 2009 - Stage 13 RR,Stage in line,Colmar,200.0,Heinrich Haussler,
"40,476",Tour de France 1962 - Stage4 ,Stage in line,Le Havre,196.5,Willy Van den Berghen,
"40,453",Tour de France 1991 - Stage14 ,Stage in line,Castres,172.5,Bruno Cenghialta,
"40,452",Tour de France 1958 - Stage4 ,Stage in line,Versailles,205.0,Jean Gainche,
"40,428",Tour de France 1982 - Stage8 ,Stage in line,Châteaulin,204.5,Frank Hoste,
"40,427",Tour de France 1994 - Stage 8 ,Stage in line,Trélissac,208.5,Bo Hamburger,
"40,420",Tour de France 2010 - Stage 6 RR,Stage in line,Gueugnon,227.5,Mark Cavendish,
"40,414",Tour de France 2007 - Stage 7 RR,Stage in line,Le Grand-Bornand,197.5,Linus Gerdemann,
"40,410",Tour de France 1958 - Stage1 ,Stage in line,Ghent,184,André Darrigade,
"40,404",Tour de France 2012 - Stage 4 RR,Stage in line,Rouen,214.5,André Greipel,
"40,384",Tour de France 1980 - Stage15 ,Stage in line,Martigues,160,Bernard Vallet,
"40,381",Tour de France 2007 - Stage 18 RR,Stage in line,Angoulême,211,Sandy Casar,
"40,379",Tour de France 1990 - Stage 3 RR,Stage in line,Nantes,233.0,Moreno Argentin,
"40,377",Tour de France 1966 - Stage6 ,Stage in line,Angers,216.5,Ward Sels,
"40,373",Tour de France 1969 - Stage4 ,Stage in line,Nancy,214.0,Rik Van Looy,
"40,368",Tour de France 1981 - Stage7 ,Stage in line,Bordeaux,227.0,Urs Freuler,
"40,357",Tour de France 2000 - Stage 9 RR,Stage in line,Dax,181,Paolo Bettini,
"40,339",Tour de France 1960 - Stage1b ITT,Individual time trial,Brussels,27.8,Roger Rivière,
"40,337",Tour de France 1997 - Stage 13 RR,Stage in line,"Alpe d'Huez",203.5,Marco Pantani,
"40,336",Tour de France 1983 - Stage3 ,Stage in line,Roubaix,152,Rudy Matthijs,
"40,336",Tour de France 1993 - Stage 3 ,Stage in line,Dinard,189.5,Dzamolidine Abduzhaparov,
"40,334",Tour de France 2007 - Stage 12 RR,Stage in line,Castres,178.5,Tom Boonen,
"40,327",Tour de France 1989 - Stage1 ,Stage in line,Luxembourg,135.5,Acacio Da Silva,
"40,311",Tour de France 1954 - Stage21b ITT,Individual time trial,Nancy,72,Louison Bobet,
"40,302",Tour de France 1996 - Stage 16 ,Stage in line,Hautacam,199.0,Bjarne Riis,
"40,299",Tour de France 1964 - Stage14 ,Stage in line,Toulouse,186.0,Ward Sels,
"40,265",Tour de France 1938 - Stage7 ,Stage in line,Pau,115,Theo Middelkamp,
"40,247",Tour de France 1956 - Stage10 ,Stage in line,Bayonne,201.0,Fred De Bruyne,
"40,234",Tour de France 1965 - Stage13 ,Stage in line,Montpellier,164,Adriano Durante,
"40,229",Tour de France 1960 - Stage4 ,Stage in line,Caen,211,Jean Graczyk,
"40,227",Tour de France 1999 - Stage 13 RR,Stage in line,Albi,236.5,Salvatore Commesso,
"40,221",Tour de France 1990 - Stage 15 RR,Stage in line,Revel,170,Charly Mottet,
"40,204",Tour de France 1968 - Stage6 ,Stage in line,Lorient,188.0,Aurelio González,
"40,202",Tour de France 2011 - Stage 13 RR,Stage in line,Lourdes,152.5,Thor Hushovd,
"40,200",Tour de France 1988 - Stage1 ,Stage in line,Machecoul,91.5,Steve Bauer,
"40,198",Tour de France 1975 - Stage9a ,Stage in line,Fleurance,131,Theo Smit,
"40,195",Tour de France 1997 - Stage 16 RR,Stage in line,Fribourg,181,Christophe Mengin,
"40,180",Tour de France 1974 - Stage19a ,Stage in line,Bordeaux,195.5,Francis Campaner,
"40,163",Tour de France 2000 - Stage 18 RR,Stage in line,Freiburg,246.5,Salvatore Commesso,
"40,159",Tour de France 1998 - Stage 6 RR,Stage in line,Brive-la-Gaillarde,204.5,Mario Cipollini,
"40,157",Tour de France 1953 - Stage12 ,Stage in line,Albi,228.0,André Darrigade,
"40,116",Tour de France 1998 - Stage 1 RR,Stage in line,Dublin,180.5,Tom Steels,
"40,112",Tour de France 1987 - Stage3 ,Stage in line,Stuttgart,219.0,Acacio Da Silva,
"40,109",Tour de France 1995 - Stage 1 ,Stage in line,Lannion,233.5,Fabio Baldato,
"40,099",Tour de France 1978 - Stage 6 RR,Stage in line,Poitiers,162,Sean Kelly,
"40,092",Tour de France 1954 - Stage4b ,Stage in line,Caen,131,Wim van Est,
"40,087",Tour de France 1962 - Stage5 ,Stage in line,Saint-Malo,215.0,Emile Daems,
"40,087",Tour de France 1987 - Stage6 ,Stage in line,Épinal,169.0,Christophe Lavainne,
"40,072",Tour de France 1991 - Stage3 ,Stage in line,Dijon,210.5,Etienne De Wilde,
"40,071",Tour de France 1961 - Stage7 ,Stage in line,Chalon-sur-Saône,214.5,Jean Stablinsky,
"40,068",Tour de France 1954 - Stage1 ,Stage in line,Brasschaat,216.0,Wout Wagtmans,
"40,039",Tour de France 1985 - Stage10 ,Stage in line,Pontarlier,204.5,Jørgen-Vagn Pedersen,
"40,026",Tour de France 2003 - Stage 2 RR,Stage in line,Sedan,204.5,Baden Cooke,
"40,012",Tour de France 1993 - Stage 2 ,Stage in line,Vannes,227.5,Wilfried Nelissen,
"40,004",Tour de France 1972 - Stage2 ,Stage in line,La Baule,206.5,Rik Van Linden,
"40,002",Tour de France 1965 - Stage8 ,Stage in line,Bordeaux,197.5,Jo de Roo,
"39,989",Tour de France 2012 - Stage 7 RR,Stage in line,La Planche des Belles Filles,199.0,Chris Froome,
"39,967",Tour de France 1967 - Stage4 ,Stage in line,Roubaix,191,Guido Reybrouck,
"39,965",Tour de France 1951 - Stage4 ,Stage in line,Paris,188.0,Roger Levêque,
"39,955",Tour de France 1937 - Stage19b ITT,Individual time trial,Caen,59,Leo Amberg,
"39,952",Tour de France 1949 - Stage 7 ITT,Individual time trial,La Rochelle,92,Fausto Coppi,
"39,946",Tour de France 1962 - Stage2a ,Stage in line,Herentals,147,André Darrigade,
"39,945",Tour de France 1994 - Stage 2 ,Stage in line,Boulogne-sur-Mer,203.5,Jean-Paul van Poppel,
"39,929",Tour de France 1981 - Stage15 ,Stage in line,Thonon-les-Bains,231.0,Sean Kelly,
"39,929",Tour de France 2002 - Stage 1 RR,Stage in line,Luxembourg,192.5,Rubens Bertogliati,
"39,901",Tour de France 1964 - Stage5 ,Stage in line,Freiburg,161.5,Willy Derboven,
"39,893",Tour de France 1961 - Stage14 ,Stage in line,Perpignan,174.0,Eddy Pauwels,
"39,875",Tour de France 1950 - Stage6 ITT,Individual time trial,Saint-Brieuc,78,Ferdi Kübler,
"39,867",Tour de France 1974 - Stage3 ,Stage in line,Saint-Malo,190,Patrick Sercu,
"39,851",Tour de France 2002 - Stage 20 RR,Stage in line,Paris,140,Robbie McEwen,
"39,849",Tour de France 1971 - Stage5 ,Stage in line,Roubaix,208.5,Pietro Guerra,
"39,849",Tour de France 1937 - Stage17a ,Stage in line,Royan,123,Erich Bautz,
"39,835",Tour de France 1937 - Stage12b ,Stage in line,Montpellier,51,René Pedroli,
"39,823",Tour de France 2012 - Stage 1 RR,Stage in line,Seraing,198,Peter Sagan,
"39,820",Tour de France 1980 - Stage1a ,Stage in line,Wiesbaden,132.5,Jan Raas,
"39,770",Tour de France 1962 - Stage11 ,Stage in line,Pau,155.5,Eddy Pauwels,
"39,766",Tour de France 1997 - Stage 18 RR,Stage in line,Montbéliard,175.5,Didier Rous,
"39,760",Tour de France 1983 - Stage11 ,Stage in line,Fleurance,177.0,Régis Clère,
"39,758",Tour de France 1953 - Stage6 ,Stage in line,Le Mans,206.0,Martin Van Geneugden,
"39,755",Tour de France 1960 - Stage9 ,Stage in line,Bordeaux,225.0,Martin Van Geneugden,
"39,700",Tour de France 1981 - Stage10 ,Stage in line,Aulnay-sous-Bois,258.5,Ad Wijnands,
"39,698",Tour de France 1956 - Stage9 ,Stage in line,Bordeaux,219.0,Roger Hassenforder,
"39,664",Tour de France 1936 - Stage14b ITT,Individual time trial,Perpignan,63.0,Sylvère Maes,
"39,661",Tour de France 1953 - Stage1 ,Stage in line,Metz,195,Fritz Schaer,
"39,661",Tour de France 1973 - Stage3 ,Stage in line,Reims,226,Cyrille Guimard,
"39,638",Tour de France 1978 - Stage 1a RR,Stage in line,Sint Willebrord,135,Jan Raas,
"39,633",Tour de France 2012 - Stage 8 RR,Stage in line,Porrentruy,156,Thibaut Pinot,
"39,623",Tour de France 2001 - Stage 7 RR,Stage in line,Colmar,162.5,Laurent Jalabert,
"39,620",Tour de France 1981 - Stage8 ,Stage in line,Nantes,182.0,Ad Wijnands,
"39,598",Tour de France 1960 - Stage2 ,Stage in line,Malo-les-Bains,206.0,René Privat,
"39,580",Tour de France 1962 - Stage22 ,Stage in line,Paris,271.0,Rino Benedetti,
"39,561",Tour de France 1987 - Stage16 ,Stage in line,le Cade,216.5,Régis Clère,
"39,560",Tour de France 2012 - Stage 12 RR,Stage in line,Annonay,226,David Millar,
"39,559",Tour de France 2000 - Stage 7 RR,Stage in line,Limoges,205.5,Christophe Agnolutto,
"39,559",Tour de France 1999 - Stage 20 RR,Stage in line,Paris,143.5,Robbie McEwen,
"39,553",Tour de France 1969 - Stage9 ,Stage in line,Chamonix,111,Roger Pingeon,
"39,542",Tour de France 2003 - Stage 16 RR,Stage in line,Bayonne,197.5,Tyler Hamilton,
"39,527",Tour de France 2006 - Stage 10 RR,Stage in line,Pau,190.5,Juan Miguel Mercado,
"39,526",Tour de France 2001 - Stage 1 RR,Stage in line,Boulogne-sur-Mer,194.5,Erik Zabel,
"39,506",Tour de France 1966 - Stage17 ,Stage in line,Turin,160,Franco Bitossi,
"39,499",Tour de France 1969 - Stage2 ,Stage in line,Maastricht,181.5,Julien Stevens,
"39,498",Tour de France 1987 - Stage12 ,Stage in line,Bordeaux,228.0,Davis Phinney,
"39,494",Tour de France 2010 - Stage 15 RR,Stage in line,Bagnères-de-Luchon,187.5,Thomas Voeckler,
"39,490",Tour de France 1968 - Stage15 ,Stage in line,Albi,250.5,Roger Pingeon,
"39,468",Tour de France 2008 - Stage 9 RR,Stage in line,Bagnères-de-Bigorre,224.0,Vladimir Efimkine,
"39,463",Tour de France 1957 - Stage3b ,Stage in line,Rouen,134,Jacques Anquetil,
"39,456",Tour de France 2004 - Stage 10 RR,Stage in line,Saint-Flour,237.0,Richard Virenque,
"39,451",Tour de France 2012 - Stage 14 RR,Stage in line,Foix,191,Luis León Sánchez,
"39,446",Tour de France 2002 - Stage 18 RR,Stage in line,Bourg-en-Bresse,176.5,Thor Hushovd,
"39,419",Tour de France 1983 - Stage20 ,Stage in line,Dijon,291.0,Philippe Leleu,
"39,417",Tour de France 1990 - Stage 14 RR,Stage in line,Causse Noir,205.0,Marino Lejarreta,
"39,403",Tour de France 1998 - Stage 21 RR,Stage in line,Paris,147.5,Tom Steels,
"39,388",Tour de France 1961 - Stage3 ,Stage in line,Charleroi,197.5,Emile Daems,
"39,378",Tour de France 2008 - Stage 6 RR,Stage in line,Super-Besse,195.5,Alejandro Valverde,
"39,367",Tour de France 2004 - Stage 20 RR,Stage in line,Paris,163,Tom Boonen,
"39,332",Tour de France 1975 - Stage5 ,Stage in line,Merlin Plage,222.5,Theo Smit,
"39,318",Tour de France 2004 - Stage 5 RR,Stage in line,Chartres,200.5,"Stuart O'Grady",
"39,309",Tour de France 1950 - Stage20 ITT,Individual time trial,Lyon,98,Ferdi Kübler,
"39,306",Tour de France 1964 - Stage6 ,Stage in line,Besançon,200.0,Henk Nijdam,
"39,303",Tour de France 1982 - Stage6 ,Stage in line,Lille,233.0,Jan Raas,
"39,289",Tour de France 1961 - Stage6 ,Stage in line,Belfort,180.5,Jef Planckaert,
"39,277",Tour de France 1950 - Stage8 ,Stage in line,Niort,181,Fiorenzo Magni,
"39,271",Tour de France 1981 - Stage22 ,Stage in line,Paris,186.8,Freddy Maertens,
"39,259",Tour de France 1963 - Stage5 ,Stage in line,Rennes,285.0,Antonio Bailetti,
"39,245",Tour de France 2007 - Stage 5 RR,Stage in line,Autun,182.5,Filippo Pozzato,
"39,233",Tour de France 1976 - Stage11 ,Stage in line,Manosque,224.0,José Luis Viejo,
"39,232",Tour de France 1998 - Stage 9 RR,Stage in line,Pau,210.0,Leon van Bon,
"39,223",Tour de France 2009 - Stage 9 RR,Stage in line,Tarbes,160.5,Pierrick Fédrigo,
"39,216",Tour de France 1982 - Stage7 ,Stage in line,Concarneau,240.0,Pol Verschuere,
"39,198",Tour de France 1996 - Stage 11 ,Stage in line,Valence,202.0,Chepe González,
"39,194",Tour de France 1972 - Stage1 ,Stage in line,Saint-Brieuc,235.5,Cyrille Guimard,
"39,188",Tour de France 2010 - Stage 11 RR,Stage in line,Bourg-lès-Valence,184.5,Mark Cavendish,
"39,136",Tour de France 2006 - Stage 20 RR,Stage in line,Paris,154.5,Thor Hushovd,
"39,133",Tour de France 1981 - Stage13 ,Stage in line,Hasselt,157.4,Freddy Maertens,
"39,120",Tour de France 1994 - Stage 4 ,Stage in line,Brighton,204.0,Francisco Cabello,
"39,118",Tour de France 1963 - Stage7 ,Stage in line,Limoges,236.0,Jan Janssen,
"39,117",Tour de France 2009 - Stage 3 RR,Stage in line,La Grande-Motte,196.5,Mark Cavendish,
"39,111",Tour de France 1957 - Stage14 ,Stage in line,Perpignan,246.0,Roger Hassenforder,
"39,104",Tour de France 2005 - Stage 21 RR,Stage in line,Paris,144,Alexandr Vinokurov,
"39,097",Tour de France 1985 - Stage1 ,Stage in line,Lanester,256.0,Rudy Matthijs,
"39,048",Tour de France 1975 - Stage8 ,Stage in line,Bordeaux,134,Barry Hoban,
"39,041",Tour de France 1971 - Stage3 ,Stage in line,Nancy,165.5,Rini Wagtmans,
"39,030",Tour de France 1954 - Stage7 ,Stage in line,Vannes,211,Jacques Vivier,
"39,020",Tour de France 1996 - Stage 9 ,Stage in line,Sestriere,46,Bjarne Riis,
"39,001",Tour de France 1991 - Stage6 ,Stage in line,Le Havre,259.0,Thierry Marie,
"38,997",Tour de France 1990 - Stage 5 RR,Stage in line,Rouen,301.0,Gerrit Solleveld,
"38,989",Tour de France 1981 - Stage11 ,Stage in line,Roubaix,246.0,Daniël Willems,
"38,988",Tour de France 1960 - Stage20 ,Stage in line,Troyes,229.0,Pierre Beuffeuil,
"38,985",Tour de France 2004 - Stage 12 RR,Stage in line,La Mongie,197.5,Ivan Basso,
"38,969",Tour de France 1938 - Stage20b ITT,Individual time trial,Saint-Quentin,42.0,Félicien Vervaecke,
"38,963",Tour de France 1994 - Stage 14 ,Stage in line,Montpellier,202.0,Rolf Sørensen,
"38,958",Tour de France 2009 - Stage 8 RR,Stage in line,Saint-Girons,176.5,Luis León Sánchez,
"38,955",Tour de France 1966 - Stage22a ,Stage in line,Rambouillet,111,Ward Sels,
"38,954",Tour de France 1960 - Stage1a ,Stage in line,Brussels,108,Julien Schepens,
"38,946",Tour de France 1951 - Stage11 ,Stage in line,Agen,177.0,Hugo Koblet,
"38,924",Tour de France 1993 - Stage 18 ,Stage in line,Bordeaux,200.5,Dzamolidine Abduzhaparov,
"38,902",Tour de France 1977 - Stage13b ,Stage in line,Besançon,159.5,Jean-Pierre Danguillaume,
"38,900",Tour de France 1959 - Stage9 ,Stage in line,Bayonne,207,Marcel Queheille,
"38,880",Tour de France 1976 - Stage6 ,Stage in line,Nancy,209.0,Aldo Parecchini,
"38,864",Tour de France 2005 - Stage 16 RR,Stage in line,Pau,180.5,Óscar Pereiro,
"38,860",Tour de France 1956 - Stage5 ,Stage in line,Saint-Malo,189,Job Morvan,
"38,858",Tour de France 1969 - Stage8b ,Stage in line,Thonon-les-Bains,136.5,Michele Dancelli,
"38,833",Tour de France 1981 - Stage2 ,Stage in line,Martigues,254.0,Johan van der Velde,
"38,767",Tour de France 2011 - Stage 21 RR,Stage in line,Paris,95,Mark Cavendish,
"38,766",Tour de France 1982 - Stage1 ,Stage in line,Mohlin,207,Ludo Peeters,
"38,755",Tour de France 1994 - Stage 6 ,Stage in line,Rennes,270.5,Gianluca Bortolami,
"38,755",Tour de France 1969 - Stage7 ,Stage in line,Divonne-les-Bains,241.0,Mariano Díaz,
"38,737",Tour de France 1974 - Stage5 ,Stage in line,Dieppe,165,Ronny Dewitte,
"38,731",Tour de France 1987 - Stage25 ,Stage in line,Paris,192.0,Jeff Pierce,
"38,719",Tour de France 1961 - Stage21 ,Stage in line,Paris,252.5,Robert Cazala,
"38,717",Tour de France 1952 - Stage 7 ITT,Individual time trial,Nancy,60,Fausto Coppi,
"38,712",Tour de France 1964 - Stage7 ,Stage in line,Thonon-les-Bains,195,Jan Janssen,
"38,679",Tour de France 1935 - Stage20b ITT,Individual time trial,Caen,55,Ambrogio Morelli,
"38,641",Tour de France 1956 - Stage11 ,Stage in line,Pau,255.0,Nino Defilippis,
"38,631",Tour de France 1974 - Stage13 ,Stage in line,Montpellier,126,Barry Hoban,
"38,618",Tour de France 1952 - Stage 15 RR,Stage in line,Perpignan,275.0,Georges Decaux,
"38,610",Tour de France 2002 - Stage 14 RR,Stage in line,Mont-Ventoux,221.0,Richard Virenque,
"38,610",Tour de France 2004 - Stage 15 RR,Stage in line,Côte 2000,180.5,Lance Armstrong,
"38,609",Tour de France 1979 - Stage7 ,Stage in line,Deauville,158.2,Leo van Vliet,
"38,609",Tour de France 1973 - Stage1b ,Stage in line,Sint-Niklaas,137.5,José Catieau,
"38,597",Tour de France 2011 - Stage 7 RR,Stage in line,Châteauroux,218,Mark Cavendish,
"38,592",Tour de France 1997 - Stage 4 RR,Stage in line,Le Puy-du-Fou,223.0,Nicola Minali,
"38,557",Tour de France 1937 - Stage11b ITT,Individual time trial,Marseille,65,Gustave Danneels,
"38,547",Tour de France 2010 - Stage 8 RR,Stage in line,Avoriaz,189,Andy Schleck,
"38,544",Tour de France 1973 - Stage2b ,Stage in line,Roubaix,138.0,Eddy Verstraeten,
"38,532",Tour de France 1953 - Stage20 ITT,Individual time trial,Saint-Etienne,70,Louison Bobet,
"38,499",Tour de France 1991 - Stage10 ,Stage in line,Quimper,207.5,Phil Anderson,
"38,491",Tour de France 2005 - Stage 14 RR,Stage in line,Ax 3 Domaines,220.5,Georg Totschnig,
"38,450",Tour de France 1984 - Stage6 ,Stage in line,Alençon,202.0,Frank Hoste,
"38,442",Tour de France 1970 - Stage1 ,Stage in line,La Rochelle,224.5,Cyrille Guimard,
"38,438",Tour de France 1958 - Stage12 ,Stage in line,Dax,161,Martin Van Geneugden,
"38,428",Tour de France 1957 - Stage5 ,Stage in line,Charleroi,170,Gilbert Bauvin,
"38,402",Tour de France 1939 - Stage10c ,Stage in line,Montpellier,70.5,Maurice Archambaud,
"38,391",Tour de France 1955 - Stage5 ,Stage in line,Colmar,229.0,Roger Hassenforder,
"38,381",Tour de France 1986 - Stage15 ,Stage in line,Nîmes,225.5,Frank Hoste,
"38,376",Tour de France 2006 - Stage 15 RR,Stage in line,"Alpe d'Huez",187.0,Fränk Schleck,
"38,366",Tour de France 1955 - Stage1a ,Stage in line,Dieppe,102,Miguel Poblet,
"38,356",Tour de France 1993 - Stage 12 ,Stage in line,Marseille,287.5,Fabio Roscioli,
"38,337",Tour de France 1964 - Stage3a ,Stage in line,Vorst,196.5,Bernard Van de Kerckhove,
"38,318",Tour de France 1974 - Stage4 ,Stage in line,Caen,184.5,Patrick Sercu,
"38,309",Tour de France 1982 - Stage2 ,Stage in line,Nancy,250.0,Phil Anderson,
"38,304",Tour de France 1992 - Stage11 ,Stage in line,Mulhouse,249.5,Laurent Fignon,
"38,296",Tour de France 1970 - Stage8 ,Stage in line,Felsberg,232.5,Alain Vasseur,
"38,280",Tour de France 1962 - Stage1 ,Stage in line,Spa,253.0,Rudi Altig,
"38,274",Tour de France 2012 - Stage 20 RR,Stage in line,Paris,120,Mark Cavendish,
"38,253",Tour de France 2002 - Stage 15 RR,Stage in line,Les Deux-Alpes,226.5,Santiago Botero,
"38,247",Tour de France 1969 - Stage5 ,Stage in line,Mulhouse,193.5,Joaquim Agostinho,
"38,243",Tour de France 1957 - Stage19 ,Stage in line,Bordeaux,194.0,Pierino Baffi,
"38,236",Tour de France 1967 - Stage6 ,Stage in line,Metz,238.0,Herman Van Springel,
"38,235",Tour de France 1997 - Stage 21 RR,Stage in line,Paris,149.5,Nicola Minali,
"38,226",Tour de France 1985 - Stage20 ,Stage in line,Limoges,225.0,Johan Lammerts,
"38,225",Tour de France 1961 - Stage13 ,Stage in line,Montpellier,177.5,André Darrigade,
"38,213",Tour de France 1977 - Stage19 ,Stage in line,Dijon,171.5,Gerrie Knetemann,
"38,212",Tour de France 1968 - Stage7 ,Stage in line,Nantes,190,Franco Bitossi,
"38,192",Tour de France 1974 - Stage22 ,Stage in line,Paris,146,Eddy Merckx,
"38,177",Tour de France 1937 - Stage3 ,Stage in line,Metz,161,Walter Generati,
"38,169",Tour de France 1966 - Stage9 ,Stage in line,Bayonne,201.0,Gerben Karstens,
"38,164",Tour de France 1957 - Stage6 ,Stage in line,Metz,248.0,André Trochut,
"38,159",Tour de France 1966 - Stage3b ,Stage in line,Dunkirk,131.5,Gerben Karstens,
"38,156",Tour de France 1954 - Stage13 ,Stage in line,Toulouse,203.0,Fred De Bruyne,
"38,148",Tour de France 2011 - Stage 9 RR,Stage in line,Saint-Flour,208,Luis León Sánchez,
"38,147",Tour de France 1988 - Stage11 ,Stage in line,Morzine,232.0,Fabio Parra,
"38,139",Tour de France 1996 - Stage 2 ,Stage in line,Wasquehal,247.5,Mario Cipollini,
"38,133",Tour de France 1953 - Stage9 ,Stage in line,Pau,197,Fiorenzo Magni,
"38,130",Tour de France 1935 - Stage14b ITT,Individual time trial,Perpignan,63.0,Maurice Archambaud,
"38,113",Tour de France 1977 - Stage5a ,Stage in line,Bordeaux,138.5,Jacques Esclassan,
"38,099",Tour de France 1966 - Stage21 ,Stage in line,Orléans,232.5,Pierre Beuffeuil,
"38,096",Tour de France 1971 - Stage7 ,Stage in line,Nevers,257.5,Eric Leman,
"38,094",Tour de France 1961 - Stage5 ,Stage in line,Strasbourg,221.0,Louis Bergaud,
"38,089",Tour de France 1952 - Stage 1 RR,Stage in line,Rennes,246.0,Rik Van Steenbergen,
"38,085",Tour de France 1953 - Stage15 ,Stage in line,Marseille,173.0,Maurice Quentin,
"38,078",Tour de France 1968 - Stage2 ,Stage in line,Vorst,210.5,Eric De Vlaeminck,
"38,073",Tour de France 1958 - Stage2 ,Stage in line,Dunkirk,198,Gerrit Voorting,
"38,069",Tour de France 1987 - Stage8 ,Stage in line,Épinay-sous-Sénart,205.5,Jean-Paul van Poppel,
"38,066",Tour de France 1992 - Stage2 ,Stage in line,Pau,255.0,Javier Murguialday,
"38,042",Tour de France 1978 - Stage 18 RR,Stage in line,Lausanne,137.5,Gerrie Knetemann,
"38,018",Tour de France 1939 - Stage2a ITT,Individual time trial,Vire,63.5,Romain Maes,
"38,004",Tour de France 1960 - Stage12 ,Stage in line,Toulouse,176,Jean Graczyk,
"37,992",Tour de France 1938 - Stage5 ,Stage in line,Bordeaux,198,Eloï Meulenberg,
"37,990",Tour de France 1957 - Stage22 ,Stage in line,Paris,227.0,André Darrigade,
